Country,Region,Happiness Score - 2020,Logged GDP per capita - 2020,Social Support - 2020,Healthy Life Expectancy - 2020,Freedom to make life choices - 2020,Generocity - 2020,Perceptions of Corruption - 2020,Happiness Score - 2021,Logged GDP per capita - 2021,Social Support - 2021,Healthy Life Expectancy - 2021,Freedom to make life choices - 2021,Generocity - 2021,Perceptions of Corruption - 2021
Afghanistan,South Asia,2.5669000148773193,7.462860584259033,0.4703669548034668,52.59000015258789,0.396573007106781,-0.09642940014600754,0.9336865544319153,2.522900104522705,7.694709777832031,0.46259555220603943,52.49261474609375,0.3817485272884369,-0.10168354213237762,0.924338161945343
Albania,Central and Eastern Europe,4.882699966430664,9.417930603027344,0.6710704565048218,68.70813751220703,0.7819942235946655,-0.042309489101171494,0.8963037133216858,5.117400169372559,9.520496368408203,0.6974051594734192,68.9993896484375,0.7852362394332886,-0.02992146462202072,0.9010128974914551
Algeria,Middle East and North Africa,5.005099773406982,9.537964820861816,0.8033851385116577,65.9051742553711,0.4666109085083008,-0.12110516428947449,0.7354851365089417,4.8871002197265625,9.34237289428711,0.8019434213638306,66.00455474853516,0.4797153174877167,-0.06698665022850037,0.7518753409385681
Argentina,Latin America and Caribbean,5.974699974060059,9.810955047607422,0.9005679488182068,68.803802490234375,0.8311324119567871,-0.1949138641357422,0.8420098423957825,5.929299831390381,9.961631774902344,0.897523820400238,69.000152587890625,0.828485906124115,-0.18170379102230072,0.8339568376541138
Armenia,Commonwealth of Independent States,4.676799774169922,9.100476264953613,0.7574794292449951,66.75065612792969,0.712017834186554,-0.13877961039543152,0.7735447883605957,5.282599925994873,9.487374305725098,0.7990387082099915,67.055145263671875,0.8253329992294312,-0.1676464080810547,0.6294224262237549
Australia,North America and ANZ,7.222799777984619,10.720596313476563,0.9448546171188354,73.60453796386719,0.9154317378997803,0.19046016037464142,0.4151691198348999,7.183499813079834,10.795604705810547,0.9401491284370422,73.90009307861328,0.9136497378349304,0.1585298627614975,0.4422915577888489
Austria,Western Europe,7.2941999435424805,10.742823600769043,0.9280458688735962,73.00250244140625,0.8999894857406616,0.08542922139167786,0.49995487928390503,7.2677998542785645,10.906315803527832,0.9341755509376526,73.29972076416016,0.9076905846595764,0.04156827926635742,0.4813777804374695
Azerbaijan,Commonwealth of Independent States,5.16480016708374,9.687726974487305,0.8193082809448242,65.5083999633789,0.786824107170105,-0.24025528132915497,0.5525375604629517,5.17080020904541,9.56872844696045,0.8359205722808838,65.65584564208984,0.8141629099845886,-0.22254817187786102,0.5064712762832642
Bahrain,Middle East and North Africa,6.22730016708374,10.676380157470703,0.8763421177864075,68.5,0.9058557748794556,0.13372918963432312,0.7393471002578735,6.646900177001953,10.668610572814941,0.8616421818733215,69.49510192871094,0.9249880909919739,0.08911684900522232,0.7219851016998291
Bangladesh,South Asia,4.832799911499023,8.2870635986328125,0.6872929930686951,64.50306701660156,0.9006249904632568,-0.033664725720882416,0.6618435382843018,5.024600028991699,8.454228401184082,0.6933901309967041,64.79996490478516,0.877008318901062,-0.04134693741798401,0.6816807389259338
